date;consumption;forecast_day-1;forecast_hour-1;fuel;coal;gas;nuclear;wind;solar;hydro_pumping;bioenergy;co2_rate
2019-06-01 00:00:00;45727.0;45500.0;45900.0;86.0;18.0;2088.0;39794.0;541.0;0.0;-49.0;1125.0;21.0
2019-06-01 00:30:00;43602.0;43100.0;43000.0;78.0;19.0;1979.0;39460.0;623.0;0.0;-396.0;1131.0;20.0
2019-06-01 01:00:00;40816.0;40500.0;40700.0;78.0;18.0;1496.0;38100.0;690.0;0.0;-917.0;1134.0;18.0
2019-06-01 01:30:00;40112.0;40900.0;40800.0;78.0;19.0;774.0;38353.0;769.0;0.0;-941.0;1126.0;13.0
2019-06-01 02:00:00;39285.0;40000.0;40100.0;79.0;19.0;676.0;37938.0;846.0;0.0;-946.0;1133.0;13.0
2019-06-01 02:30:00;38501.0;38100.0;38000.0;78.0;18.0;668.0;38366.0;953.0;0.0;-951.0;1141.0;13.0
2019-06-01 03:00:00;36833.0;36400.0;36600.0;79.0;18.0;648.0;37338.0;1037.0;0.0;-1156.0;1141.0;13.0
2019-06-01 03:30:00;35834.0;35600.0;35500.0;79.0;18.0;641.0;37298.0;1132.0;0.0;-1539.0;1149.0;13.0
2019-06-01 04:00:00;34810.0;34800.0;34900.0;78.0;18.0;642.0;37189.0;1156.0;0.0;-2004.0;1147.0;13.0
2019-06-01 04:30:00;34470.0;34300.0;34200.0;79.0;18.0;625.0;37083.0;1172.0;0.0;-2175.0;1143.0;13.0
2019-06-01 05:00:00;34204.0;34300.0;33900.0;78.0;18.0;626.0;36785.0;1194.0;0.0;-1968.0;1142.0;13.0
2019-06-01 05:30:00;34341.0;34100.0;34300.0;78.0;18.0;626.0;37051.0;1174.0;0.0;-1799.0;1145.0;13.0
2019-06-01 06:00:00;34047.0;34000.0;33900.0;78.0;18.0;623.0;36856.0;1110.0;0.0;-1797.0;1145.0;13.0
2019-06-01 06:30:00;34387.0;34200.0;34500.0;78.0;19.0;632.0;37141.0;1085.0;43.0;-1823.0;1138.0;13.0
2019-06-01 07:00:00;35005.0;35100.0;35300.0;78.0;19.0;630.0;37171.0;1032.0;212.0;-1775.0;1141.0;13.0
2019-06-01 07:30:00;36063.0;36200.0;36000.0;78.0;19.0;628.0;37204.0;1000.0;564.0;-1338.0;1130.0;13.0
2019-06-01 08:00:00;37185.0;37600.0;37400.0;79.0;19.0;634.0;37300.0;891.0;1202.0;-1343.0;1119.0;12.0
2019-06-01 08:30:00;38580.0;39200.0;38700.0;78.0;19.0;647.0;37515.0;705.0;2046.0;-1098.0;1122.0;12.0
2019-06-01 09:00:00;40087.0;40900.0;40300.0;80.0;19.0;645.0;37435.0;494.0;2964.0;-916.0;1121.0;12.0
2019-06-01 09:30:00;41654.0;42300.0;41300.0;79.0;19.0;644.0;37222.0;380.0;3833.0;-913.0;1115.0;12.0
2019-06-01 10:00:00;42442.0;43000.0;42300.0;79.0;19.0;644.0;37016.0;333.0;4580.0;-915.0;1110.0;12.0
2019-06-01 10:30:00;42972.0;43700.0;42400.0;79.0;19.0;645.0;37187.0;356.0;5255.0;-1314.0;1099.0;11.0
2019-06-01 11:00:00;43486.0;44300.0;43100.0;79.0;19.0;643.0;37015.0;406.0;5811.0;-1470.0;1087.0;11.0
2019-06-01 11:30:00;43843.0;44900.0;44000.0;78.0;19.0;648.0;36242.0;455.0;6268.0;-1470.0;1089.0;11.0
