date;consumption;forecast_day-1;forecast_hour-1;fuel;coal;gas;nuclear;wind;solar;hydro_pumping;bioenergy;co2_rate
2020-01-01 00:00:00;67068.0;68000.0;65800.0;300.0;14.0;6515.0;49226.0;3748.0;0.0;-88.0;1185.0;40.0
2020-01-01 00:30:00;66103.0;66600.0;64800.0;107.0;13.0;6692.0;49436.0;3627.0;0.0;-84.0;1194.0;39.0
2020-01-01 01:00:00;63943.0;64900.0;63200.0;106.0;13.0;6257.0;48970.0;3203.0;0.0;-39.0;1188.0;37.0
2020-01-01 01:30:00;63904.0;65500.0;63800.0;107.0;14.0;5630.0;49648.0;2981.0;0.0;-50.0;1187.0;34.0
2020-01-01 02:00:00;63408.0;65400.0;63300.0;107.0;14.0;5337.0;49764.0;2799.0;0.0;-45.0;1198.0;33.0
2020-01-01 02:30:00;62711.0;64000.0;61600.0;107.0;15.0;4495.0;49747.0;2763.0;0.0;-59.0;1184.0;29.0
2020-01-01 03:00:00;60825.0;62000.0;59700.0;107.0;14.0;3660.0;49527.0;2810.0;0.0;-678.0;1185.0;26.0
2020-01-01 03:30:00;59332.0;60500.0;58300.0;107.0;14.0;2942.0;49887.0;2822.0;0.0;-865.0;1194.0;22.0
2020-01-01 04:00:00;58004.0;59100.0;57100.0;107.0;13.0;2942.0;49299.0;2752.0;0.0;-1333.0;1201.0;23.0
2020-01-01 04:30:00;57125.0;58200.0;56200.0;107.0;14.0;2963.0;49714.0;2746.0;0.0;-2540.0;1198.0;23.0
2020-01-01 05:00:00;56432.0;57700.0;56000.0;107.0;14.0;2947.0;49455.0;2733.0;0.0;-3015.0;1191.0;23.0
2020-01-01 05:30:00;56707.0;57800.0;55800.0;107.0;14.0;2956.0;49678.0;2654.0;0.0;-3423.0;1185.0;24.0
2020-01-01 06:00:00;56455.0;57800.0;55500.0;108.0;14.0;2961.0;49686.0;2530.0;0.0;-3420.0;1186.0;24.0
2020-01-01 06:30:00;56894.0;58000.0;56200.0;108.0;14.0;2970.0;49742.0;2387.0;0.0;-2991.0;1177.0;24.0
2020-01-01 07:00:00;56722.0;57900.0;56100.0;107.0;15.0;2977.0;49762.0;2215.0;0.0;-2976.0;1179.0;24.0
2020-01-01 07:30:00;56815.0;58100.0;56400.0;109.0;11.0;2979.0;49643.0;2111.0;0.0;-3440.0;1184.0;24.0
2020-01-01 08:00:00;56967.0;58100.0;56600.0;108.0;11.0;2944.0;49413.0;1982.0;0.0;-3460.0;1183.0;24.0
2020-01-01 08:30:00;56623.0;57800.0;56200.0;108.0;11.0;2950.0;49104.0;1831.0;10.0;-3453.0;1186.0;24.0
2020-01-01 09:00:00;56587.0;57900.0;56100.0;108.0;12.0;3208.0;49040.0;1726.0;140.0;-3452.0;1180.0;26.0
2020-01-01 09:30:00;57222.0;59000.0;56800.0;108.0;12.0;3245.0;49113.0;1655.0;445.0;-3381.0;1187.0;26.0
2020-01-01 10:00:00;58060.0;60000.0;57600.0;108.0;15.0;3432.0;49057.0;1524.0;844.0;-3365.0;1182.0;26.0
2020-01-01 10:30:00;58877.0;61100.0;58500.0;108.0;15.0;3412.0;48930.0;1538.0;1271.0;-3242.0;1170.0;26.0
2020-01-01 11:00:00;59617.0;61900.0;59300.0;108.0;14.0;3421.0;48886.0;1546.0;1616.0;-3270.0;1171.0;26.0
2020-01-01 11:30:00;60615.0;62500.0;60200.0;108.0;16.0;3523.0;48973.0;1490.0;1935.0;-2864.0;1177.0;26.0
2020-01-01 12:00:00;61617.0;63900.0;62400.0;109.0;15.0;3537.0;49083.0;1394.0;2175.0;-2529.0;1171.0;26.0
2020-01-01 12:30:00;63039.0;64700.0;62200.0;109.0;15.0;3537.0;49189.0;1250.0;2323.0;-1746.0;1180.0;26.0
2020-01-01 13:00:00;63962.0;66000.0;64100.0;108.0;16.0;3578.0;49540.0;1067.0;2381.0;-1745.0;1177.0;25.0
2020-01-01 13:30:00;62722.0;63600.0;62000.0;107.0;15.0;3562.0;49346.0;910.0;2328.0;-1689.0;1176.0;26.0
2020-01-01 14:00:00;61452.0;62000.0;60800.0;108.0;15.0;3547.0;49257.0;807.0;2189.0;-1842.0;1179.0;26.0
2020-01-01 14:30:00;60391.0;61500.0;60200.0;108.0;15.0;3627.0;49433.0;792.0;1928.0;-1377.0;1178.0;26.0
